url,name,price,value
https://eda.yandex.ru/retail/lenta/product/1c8ea684-f84a-4294-939a-64b36872465d?placeSlug=giper_gwhxm,Сметана Простоквашино 25%,120RUB,300г
https://eda.yandex.ru/retail/lenta/product/1b78df7c-13ec-4e73-b7e3-1ac998f5e2dc?placeSlug=giper_gwhxm,Сметана Домик в деревне 20% 180г,59RUB,180г
https://eda.yandex.ru/retail/lenta/product/c46a021e-bebd-43bb-9c44-0eb49fce28aa?placeSlug=giper_gwhxm,Сметана Домик в деревне 15% 180г,49RUB,180г
https://eda.yandex.ru/retail/lenta/product/ae56673b-0a25-41fe-9a1c-a30446ecead8?placeSlug=giper_gwhxm,Сметана Домик в деревне 10% 300г,63RUB,300г
https://eda.yandex.ru/retail/lenta/product/b2c3fbff-341d-4e81-8d0f-61366bceb668?placeSlug=giper_gwhxm,Сывороточно-молочный коктейль Мажитэль с соком и с витаминам со вкусом Персик-маракуйя 950г,120RUB,950мл
https://eda.yandex.ru/retail/lenta/product/50368847-95c2-401f-b47a-3b4d5f309f35?placeSlug=giper_gwhxm,Сывороточный коктейль с соком Мажитэль Ананас-Манго 950г,118RUB,950мл
https://eda.yandex.ru/retail/lenta/product/ad943fc6-a22f-4685-8de9-696c1edcb5b7?placeSlug=giper_gwhxm,Продукт кисломолочный Actimuno Гранат 15%,29RUB,95мл
https://eda.yandex.ru/retail/lenta/product/7a9816fe-a6cc-4944-acbf-c394bbcb2514?placeSlug=giper_gwhxm,Напиток кисломолочный Имунеле со вкусом Земляника 12% 100г,30RUB,95мл
https://eda.yandex.ru/retail/lenta/product/dbfb9838-59d4-471f-90c8-e3a6a7807e82?placeSlug=giper_gwhxm,Напиток кисломолочный Имунеле For Kids Клубничное мороженое 1.5%,30RUB,100мл
https://eda.yandex.ru/retail/lenta/product/cbc928a0-e64c-41a3-a2f1-140e614869f2?placeSlug=giper_gwhxm,Сывороточный коктейль с соком Мажитэль Арбуз-Дыня 950г,118RUB,950мл
https://eda.yandex.ru/retail/lenta/product/33f48a44-1dcc-44fc-9db8-af4e749464b1?placeSlug=giper_gwhxm,Напиток кисломолочный Actimel Kids Малиновое мороженое 1.5% 95г,29RUB,95мл
